"제품명","호수(톤 범위)","지속력(후기·설명 기준)","총 호수 개수"
"원오브뎀 드 뗑 쿠션 12g","1호: 23~25톤 밝은~중간 / 2호: 25~27톤 건강·가무잡잡 톤","“하루종일 착붙” 컨셉, 대략 6~7시간 무난 유지","2"
"비레디 블루 쿠션 4세대 15g","1~5호 뉴트럴 톤, 1호 매우 밝음~5호 진한 태닝 톤","12시간 커버 지속 컨셉, 후기상 8~10시간 유지","5"
"비레디 블루 파운데이션 35ml","쿠션과 동일 1~5호 뉴트럴 톤 체계","파데 특성상 쿠션보다 조금 더 오래, 파우더 시 8시간+ 유지 인상","5"
"오브제 내추럴 커버 파운데이션","1호: 21~23 / 2호: 23~25 정도 두 단계 구성","내추럴 커버+밀착, 대략 6~8시간 유지 인상","2"
"다슈 맨즈 아쿠아 매트 비비 쿠션","뉴트럴 베이지 단일 톤(23~23.5톤 느낌)","마스크 착용 8~9시간 외출에도 유지 만족 후기 다수","1"
"다슈 맨즈 멀티 커버 스틱 파운데이션","뉴트럴 베이지 단일 톤(23호 기준, 약간 어두운 피부도 무난)","스틱 특성상 커버력 좋고 5~6시간 이후 T존 유분 올라오는 편","1"
"정샘물 맨 슬림핏 누더 쿠션","1호: 밝은 21~23 / 2호: 23~25 정도 두 단계","아주 얇은 베이스, 평균 5~6시간 지속 평가","2"
"두잉왓 소프트 블러링 필터 쿠션","1호·2호(21~23, 23~25 구간)","반매트 블러링, 4~6시간 예쁘게 유지 후 코 주변부터 무너짐","2"
"그라펜 팁 스케치 멀티 커버 파운데이션 20ml","1호 밝은, 2호 중간, 3호 어두운(21~27호 범위)","높은 커버력, 5~7시간 정도 유지 후기 많음","3"
"그라펜 핸섬 커버쿠션","1~3호(1 밝은, 2 중간, 3 어두운)","반매트 중·고커버, 5~7시간 유지 경향","3"
"그라펜 매치업 파운데이션 40ml","1~3호 동일 톤 구성","리퀴드 파데로 6~8시간 정도 유지","3"
"스웨गर 톤 커버 파운데이션 스틱","1호: 21~23 / 2호: 23~25 정도","커버력·지속력 모두 상위, 6~8시간 유지 평가","2"
"라끌랑 내츄럴 커버 옴므쿠션","2~3단계 톤(밝은/중간/어두운)","가벼운 라인, 5~7시간 정도 유지","3*"
"라끌랑 슈퍼쉴드 옴므쿠션","2~3단계 톤 구성","커버·지속 강화, 7~9시간 유지 경향","3*"
"라끌랑 올데이 파워 픽스쿠션","2~3단계 톤 구성","이름처럼 7~9시간 정도 고정력 유지","3*"
"듀이셀 트루빔 파운데이션 12g","1·2호(21~25호 범위 커버)","촉촉 타입, 4~6시간 지속·건성에 더 적합","2"
"엠도씨 엔드 핏 스틱 비비 파운데이션","1호 21~23 / 2호 23~25 / 3호 25~27","4~6시간은 깔끔, 이후 뭉침·무너짐 있어 중간 이하 평가","3"
